,Timestamp,Question 1: In which institution are you based?,Question 2: Which of the following roles apply to you? 1,Question 2: Which of the following roles apply to you? 2,Question 2: Which of the following roles apply to you? 3,Question 2: Which of the following roles apply to you? 4,Question 2: Which of the following roles apply to you? 5,Question 3: Which of the following disciplines best applies to your work?,Question 4: Which funder currently provides the majority of your funding?,Question 5: How many years have you worked in research?,Question 6: Do you use research software?,Question 7: What would happen if you could no longer use research software?,Question 8: Do you develop your own research software?,Question 9: Have you received any training in software development?,Question 10: Have you ever included costs for software development in a funding proposal?,Question 11: Please provide the name(s) of the main research software you use.,Extra question 1: What is your job title?,Extra question 2: What is your gender?,Extra question 3: Are you employed on a permanent or fixed-term contract,Extra question 4: What is your preferred Operating System?,Q11_valid_data
261,10/20/2014 22:15:05,university of bristol,I conduct research,,,,,"Biological, mathematical & physical sciences",epsrc - engineering and physical sciences research council,1-5 years,Yes,"My work would require more effort, but it would still be possible",Yes,Yes - self taught using online resources or books,I'm not involved in bid writing,"Mathematica, Matlab",Postdoctoral researcher,Female,Fixed term,Linux,True
262,10/20/2014 22:23:18,university of bristol,I conduct research,,,,,Engineering & technology,epsrc - engineering and physical sciences research council,1-5 years,Yes,It would not be practical to conduct my work without software,Yes,"Yes - a taught course, Yes - self taught using online resources or books","No, but we expected to develop software as part of the project","Matlab, Abaqus, Python",PhD student,Male,Fixed term,Don't have a preference,True
263,10/20/2014 22:37:13,queen mary university of london,I conduct research, I manage researchers or research projects,,,,Social studies,esrc - economic and social research council,11-15 years,Yes,It would not be practical to conduct my work without software,Yes,"Yes - a taught course, Yes - self taught using online resources or books",Yes,"Stata, R, Emacs, Sed, Awk, Mathematica",Lecturer,Male,Permanent,Mac OS X,True
264,10/21/2014 0:08:58,queen's university belfast,I conduct research, I manage researchers or research projects,,,,Engineering & technology,european union,More than 20 years,Yes,It would not be practical to conduct my work without software,Yes,Yes - self taught using online resources or books,"No, but we expected to develop software as part of the project","MathCad, CST Microwave Studio, Agilen ADS, MultiSim (National Instrument)",Reader,Male,Permanent,Microsoft Windows,True
265,10/21/2014 6:08:26,university of newcastle,teaching fellow,,,,,"Biological, mathematical & physical sciences",epsrc - engineering and physical sciences research council,1-5 years,Yes,It would not be practical to conduct my work without software,Yes,"Yes - a taught course, Yes - self taught using online resources or books","No, but we expected to develop software as part of the project","Labview, Origin, Kaleida Graph, Igor",Lecturer,Female,Fixed term,Mac OS X,True
266,10/21/2014 8:22:50,queen mary university of london,I conduct research,,,,,Humanities & language based studies & archaeology,university central funds,6-10 years,Yes,"My work would require more effort, but it would still be possible",No,No,No,,Lecturer,Female,Permanent,Mac OS X,False
267,10/21/2014 9:01:38,university of nottingham,I conduct research, I manage researchers or research projects, I develop software for researchers,,,"Biological, mathematical & physical sciences",epsrc - engineering and physical sciences research council,6-10 years,Yes,It would not be practical to conduct my work without software,Yes,Yes - self taught using online resources or books,No,"MestReNova, R, Prism, many proprietary softwares for individual analytical instruments",Research Fellow,Male,Fixed term,Linux,True
268,10/21/2014 9:14:21,university of leeds,I conduct research, I support researchers,,,,"Biological, mathematical & physical sciences",nerc - natural environment research council,6-10 years,Yes,It would not be practical to conduct my work without software,Yes,Yes - self taught using online resources or books,No,Matlab,Instrument Scientist,Female,Permanent,Microsoft Windows,True
269,10/21/2014 9:15:57,university of glasgow,I conduct research, I develop software for researchers,,,,"Biological, mathematical & physical sciences",stfc - science and technology facilities council,6-10 years,Yes,It would not be practical to conduct my work without software,Yes,Yes - self taught using online resources or books,"No, but we expected to develop software as part of the project","geant4, recpack, maus",Postdoctoral researcher,Male,Fixed term,Linux,True
270,10/21/2014 9:17:39,imperial college london,I conduct research,,,,,"Biological, mathematical & physical sciences",epsrc - engineering and physical sciences research council,11-15 years,Yes,It would not be practical to conduct my work without software,Yes,Yes - a taught course,"No, but we expected to develop software as part of the project","alberta-fem, see http://www.alberta-fem.de/",Lecturer,Male,Permanent,Linux,True
271,10/21/2014 9:19:33,university of glasgow,I conduct research, I support researchers, I manage researchers or research projects,,,"Biological, mathematical & physical sciences",european union,More than 20 years,Yes,It would not be practical to conduct my work without software,Yes,Yes - a taught course,Yes,"GAP - Groups Algorithms Programming,,Haskell various research versions: Eden GpH (Glasgow parallel Haskell) ..,,Erlang (beta research versions),",Professor,Male,,Linux,True
272,10/21/2014 9:30:04,university of leeds,I support researchers,,,,,"Medicine, dentistry & health",don't know,15-20 years,No,It would make no significant difference to my work,No,No,No,,Lecturer,Female,Permanent,Microsoft Windows,False
273,10/21/2014 9:49:18,university of liverpool,I conduct research,,,,,Architecture & planning,european union,1-5 years,Yes,"My work would require more effort, but it would still be possible",No,No,No,"ArcGIS, SPSS",Postdoctoral researcher,Female,Fixed term,Mac OS X,True
274,10/21/2014 9:52:40,university of birmingham,I conduct research, I support researchers, I manage researchers or research projects,,,Engineering & technology,european union,6-10 years,Yes,"My work would require more effort, but it would still be possible",No,No,I'm not involved in bid writing,"Sigmaplot,Matlab,Minitab",Research Fellow,Female,Fixed term,Don't have a preference,True
275,10/21/2014 9:54:35,queen mary university of london,I conduct research, I support researchers, I manage researchers or research projects,,,Humanities & language based studies & archaeology,ahrc - arts and humanities research council,More than 20 years,No,It would make no significant difference to my work,No,No,No,,Professor,Female,Permanent,Mac OS X,False
276,10/21/2014 9:56:06,queen mary university of london,I conduct research, I manage researchers or research projects, I develop software for researchers, I teach and develop software for teaching,,Engineering & technology,epsrc - engineering and physical sciences research council,6-10 years,Yes,It would not be practical to conduct my work without software,Yes,"Yes - a taught course, Yes - self taught using online resources or books",Yes,"python, java, matlab, octave, lisp",Lecturer,Male,Permanent,Mac OS X,True
277,10/21/2014 9:58:27,queen's university belfast,I conduct research,,,,,"Biological, mathematical & physical sciences",university central funds,More than 20 years,Yes,"My work would require more effort, but it would still be possible",No,No,No,"Sage (Open Source Computer Algebra package), Mathematica ",Professor,Male,Permanent,Microsoft Windows,True
278,10/21/2014 10:09:22,university of birmingham,I conduct research,,,,,Engineering & technology,european union,6-10 years,Yes,It would not be practical to conduct my work without software,Yes,Yes - a taught course,No,Matlab,Research Fellow,Male,Fixed term,Don't have a preference,True
279,10/21/2014 10:09:30,university of bristol,I conduct research,,,,,Engineering & technology,epsrc - engineering and physical sciences research council,1-5 years,Yes,It would not be practical to conduct my work without software,Yes,Yes - self taught using online resources or books,I'm not involved in bid writing,"MATLAB, microsoft excel",PhD student,Female,Fixed term,Microsoft Windows,True
280,10/21/2014 10:13:20,imperial college london,I conduct research,,,,,Engineering & technology,university central funds,1-5 years,Yes,It would not be practical to conduct my work without software,Yes,"Yes - a taught course, Yes - self taught using online resources or books","No, but we expected to develop software as part of the project",,PhD student,Male,Fixed term,Mac OS X,False
281,10/21/2014 10:17:36,imperial college london,I conduct research,,,,,Engineering & technology,epsrc - engineering and physical sciences research council,1-5 years,Yes,It would not be practical to conduct my work without software,Yes,"Yes - a taught course, Yes - self taught using online resources or books",I'm not involved in bid writing,"R, GAMS, cplex, Bash",PhD student,Male,Fixed term,Linux,True
282,10/21/2014 10:17:55,university of birmingham,I conduct research,,,,,Education,"other foundation, society or charity",Less than a year,Yes,"My work would require more effort, but it would still be possible",Yes,No,I'm not involved in bid writing,"NVivo,SPSS,Excel,",Postdoctoral researcher,Female,Fixed term,Microsoft Windows,True
283,10/21/2014 10:24:51,university of nottingham,I conduct research,,,,,"Biological, mathematical & physical sciences",university central funds,1-5 years,Yes,It would not be practical to conduct my work without software,Yes,No,I'm not involved in bid writing,"LabView, Origin, ",Postdoctoral researcher,Prefer not to say,Fixed term,Microsoft Windows,True
284,10/21/2014 10:28:44,university of bristol,I conduct research,,,,,"Medicine, dentistry & health",mixed funding,1-5 years,Yes,"My work would require more effort, but it would still be possible",No,No,I'm not involved in bid writing,"NVivo, RefMan, RevMan, Endnote, STATA, Microsoft Access",Postdoctoral researcher,Female,Fixed term,Don't have a preference,True
285,10/21/2014 10:37:17,university of birmingham,I conduct research, I support researchers, I manage researchers or research projects,,,Engineering & technology,industry,More than 20 years,Yes,It would not be practical to conduct my work without software,Yes,Yes - a taught course,"No, but we expected to develop software as part of the project","Abaqus, Matlab/Simulink, Simpack, MSC-ADAMS, CarSim",Lecturer,Male,Permanent,Microsoft Windows,True
286,10/21/2014 10:37:48,university of sheffield,I conduct research,,,,,Administrative & business studies,don't know,6-10 years,Yes,It would not be practical to conduct my work without software,No,No,No,Stata,Reader,Male,Permanent,Linux,True
287,10/21/2014 10:41:12,university of leeds,I conduct research,,,,,"Biological, mathematical & physical sciences",stfc - science and technology facilities council,1-5 years,Yes,It would not be practical to conduct my work without software,Yes,"Yes - a taught course, Yes - self taught using online resources or books",No,"python (numpy/scipy/matplotlib),,CASA,,DS9,,hydro codes (mg and pluto)",PhD student,Male,Fixed term,Linux,True
288,10/21/2014 10:45:27,university of leeds,I conduct research, I manage researchers or research projects, I develop software for researchers, SME director,,"Medicine, dentistry & health",epsrc - engineering and physical sciences research council,More than 20 years,Yes,It would not be practical to conduct my work without software,Yes,Yes - self taught using online resources or books,Yes,,Dr,Male,Fixed term,Microsoft Windows,False
289,10/21/2014 10:46:21,imperial college london,I conduct research, I manage researchers or research projects,,,,Engineering & technology,epsrc - engineering and physical sciences research council,15-20 years,Yes,It would not be practical to conduct my work without software,Yes,Yes - self taught using online resources or books,Yes,"Python, MatLab, Mathematica, COMSOL,",Lecturer,Male,Permanent,Mac OS X,True
290,10/21/2014 10:55:45,university of liverpool,I conduct research, I manage researchers or research projects, I develop software for researchers,,,Engineering & technology,university central funds,More than 20 years,Yes,It would not be practical to conduct my work without software,Yes,"Yes - a taught course, Yes - self taught using online resources or books","No, but we expected to develop software as part of the project",,Lecturer,Male,Permanent,Microsoft Windows,False
291,10/21/2014 10:57:13,university of birmingham,I conduct research, I support researchers, I manage researchers or research projects, Teaching + Admin,,Social studies,university central funds,6-10 years,Yes,It would not be practical to conduct my work without software,No,Yes - self taught using online resources or books,Yes,,Lecturer,Male,Permanent,Microsoft Windows,False
292,10/21/2014 11:04:41,university of leeds,I conduct research, I manage researchers or research projects, I develop software for researchers,,,"Biological, mathematical & physical sciences",epsrc - engineering and physical sciences research council,15-20 years,Yes,It would not be practical to conduct my work without software,Yes,Yes - self taught using online resources or books,"No, but we expected to develop software as part of the project","National Instruments LabVIEW, Python, LaTeX, Origin",Lecturer,Male,Permanent,Don't have a preference,True
293,10/21/2014 11:07:00,queen's university belfast,I conduct research, I manage researchers or research projects,,,,Engineering & technology,european union,6-10 years,Yes,It would not be practical to conduct my work without software,Yes,Yes - a taught course,"No, but we expected to develop software as part of the project",,Lecturer,Male,Permanent,Linux,False
294,10/21/2014 11:10:39,university of birmingham,I conduct research, I manage researchers or research projects,,,,Engineering & technology,european union,1-5 years,Yes,It would not be practical to conduct my work without software,Yes,"Yes - a taught course, Yes - self taught using online resources or books",I'm not involved in bid writing,Matlab,Research Fellow,Male,Fixed term,Microsoft Windows,True
295,10/21/2014 11:12:28,imperial college london,I conduct research,,,,,"Biological, mathematical & physical sciences",european union,1-5 years,Yes,It would not be practical to conduct my work without software,Yes,Yes - a taught course,I'm not involved in bid writing,"python, numpy, heidelberg mctdh package, mathematica",Early Stage Researcher,Male,Fixed term,Linux,True
296,10/21/2014 11:12:53,university of birmingham,I conduct research, I develop software for researchers,,,,"Biological, mathematical & physical sciences",epsrc - engineering and physical sciences research council,More than 20 years,Yes,It would not be practical to conduct my work without software,Yes,Yes - a taught course,Yes,"MCTDH (own quantum dynamics code), Gaussian, Molpro, WebMO",Professor,Male,Permanent,Linux,True
297,10/21/2014 11:21:15,queen mary university of london,I conduct research, I support researchers, I manage researchers or research projects,,,Humanities & language based studies & archaeology,european union,More than 20 years,No,It would make no significant difference to my work,No,Yes - self taught using online resources or books,No,,Professor,Male,Permanent,Microsoft Windows,False
298,10/21/2014 11:32:12,university of leeds,I conduct research, I develop software for researchers,,,,"Biological, mathematical & physical sciences",university central funds,More than 20 years,Yes,It would not be practical to conduct my work without software,Yes,Yes - self taught using online resources or books,Yes,"The statistical language R, its contributed packages, and software in R that I have written myself.",Professor,Male,Permanent,Linux,True
299,10/21/2014 11:32:52,university of liverpool,I conduct research, I manage researchers or research projects,,,,Social studies,esrc - economic and social research council,15-20 years,Yes,It would not be practical to conduct my work without software,Yes,No,No,"EPrime, PsyScope, SPSS, R, Psychopy, OpenSesame",Lecturer,Female,Permanent,Don't have a preference,True
300,10/21/2014 11:35:32,queen mary university of london,I conduct research,,,,,"Biological, mathematical & physical sciences",bbsrc - biotechnology and biological sciences research council,1-5 years,No,It would make no significant difference to my work,No,Yes - self taught using online resources or books,No,,PhD student,Female,Fixed term,Microsoft Windows,False
301,10/21/2014 11:37:20,university of bristol,I conduct research, I manage researchers or research projects,,,,"Agriculture, forestry & veterinary science","other foundation, society or charity",11-15 years,Yes,It would not be practical to conduct my work without software,Yes,No,No,"R,SPSS",Research Fellow,Female,Fixed term,Microsoft Windows,True
302,10/21/2014 11:38:37,university of glasgow,I conduct research,,,,,Engineering & technology,epsrc - engineering and physical sciences research council,6-10 years,Yes,"My work would require more effort, but it would still be possible",Yes,Yes - self taught using online resources or books,I'm not involved in bid writing,"GARAND(GoldStandardSimulations), ATK (QuantumWise), XmGrace, Paraview,Assimptote,Python",Postdoctoral researcher,Male,Fixed term,Linux,True
303,10/21/2014 11:40:03,university of liverpool,I conduct research,,,,,"Agriculture, forestry & veterinary science","other foundation, society or charity",1-5 years,Yes,It would not be practical to conduct my work without software,Yes,No,No,"Excel, STATA, LaTeX",PhD student,Male,Fixed term,Mac OS X,True
304,10/21/2014 11:40:05,university of birmingham,I conduct research, I develop software for researchers,,,,Social studies,no answer,6-10 years,Yes,It would not be practical to conduct my work without software,Yes,"Yes - a taught course, Yes - self taught using online resources or books",No,Python,Lecturer,Male,Permanent,Linux,True
305,10/21/2014 11:43:07,university of glasgow,I support researchers,,,,,"Biological, mathematical & physical sciences",epsrc - engineering and physical sciences research council,1-5 years,No,It would make no significant difference to my work,No,No,Yes,,Centre for Doctoral Training Administrator,Female,Fixed term,Microsoft Windows,False
306,10/21/2014 11:45:24,queen's university belfast,I conduct research,,,,,"Biological, mathematical & physical sciences",epsrc - engineering and physical sciences research council,15-20 years,Yes,It would not be practical to conduct my work without software,No,No,Yes,"Chemical modelling / drawing  software:,,Gaussian,Chem Office,Accelyrs Draw,,Spinworks NMR,,instrument specific software for driving various spectrometers / processing data as well.",Lecturer,Male,Permanent,Mac OS X,True
307,10/21/2014 11:52:36,university of bristol,I conduct research, I support researchers, I manage researchers or research projects, I develop software for researchers,,Engineering & technology,epsrc - engineering and physical sciences research council,1-5 years,Yes,It would not be practical to conduct my work without software,Yes,No,"No, but we expected to develop software as part of the project","Bespoke internal software such as VFP,,Commercial software in beta phase such as Kinect SDK's etc,,Standard tools such as Matlab, Visual Studio etc",Lecturer,Male,Permanent,Microsoft Windows,True
308,10/21/2014 11:53:35,university of bristol,I conduct research,,,,,"Biological, mathematical & physical sciences",esrc - economic and social research council,1-5 years,Yes,It would not be practical to conduct my work without software,Yes,Yes - self taught using online resources or books,I'm not involved in bid writing,"R,Presentation (by Neurobehavioral Systems),Python,Psychopy,bash",PhD student,Female,Fixed term,Linux,True
309,10/21/2014 11:55:30,university of bristol,I conduct research,,,,,"Biological, mathematical & physical sciences",bbsrc - biotechnology and biological sciences research council,1-5 years,Yes,It would not be practical to conduct my work without software,Yes,Yes - self taught using online resources or books,I'm not involved in bid writing,"R, VBA, algorithms written in a range of coding languages",PhD student,Female,Fixed term,Microsoft Windows,True
310,10/21/2014 12:17:38,queen mary university of london,I conduct research, I support researchers, I manage researchers or research projects, I develop software for researchers,,Administrative & business studies,don't know,6-10 years,Yes,It would not be practical to conduct my work without software,Yes,Yes - a taught course,"No, but we expected to develop software as part of the project","SPSS, NVivo, MS Excel, Chorus Analytics, Qualtrics, Survey Monkey, TweetDeck, Graphviz, NodeXL ",Lecturer,Male,Permanent,Mac OS X,True
311,10/21/2014 12:17:47,university of liverpool,I conduct research, I manage researchers or research projects, I develop software for researchers,,,Engineering & technology,university central funds,11-15 years,Yes,It would not be practical to conduct my work without software,Yes,Yes - self taught using online resources or books,Yes,"openCossan,,Matlab,,",Dr,Male,Permanent,Linux,True
312,10/21/2014 12:24:10,queen's university belfast,I conduct research, I develop software for researchers,,,,Administrative & business studies,university central funds,1-5 years,Yes,It would not be practical to conduct my work without software,Yes,"Yes - a taught course, Yes - self taught using online resources or books",No,,Lecturer,Male,Permanent,Microsoft Windows,False
313,10/21/2014 12:30:59,university of leeds,I conduct research,,,,,"Biological, mathematical & physical sciences",nerc - natural environment research council,1-5 years,Yes,It would not be practical to conduct my work without software,Yes,"Yes - a taught course, Yes - self taught using online resources or books",I'm not involved in bid writing,"Fortran 77-90, Matlab, GMT",PhD student,Male,Fixed term,Linux,True
314,10/21/2014 12:36:02,university of bristol,I conduct research,,,,,"Medicine, dentistry & health",mrc - medical research council,6-10 years,Yes,It would not be practical to conduct my work without software,Yes,"Yes - a taught course, Yes - self taught using online resources or books",Yes,"Stata, R, Mathematica, SAS, winbugs, mlwin",Research Fellow,Female,Permanent,Microsoft Windows,True
315,10/21/2014 12:39:06,imperial college london,I conduct research,,,,,"Biological, mathematical & physical sciences",mixed funding,1-5 years,Yes,It would not be practical to conduct my work without software,Yes,Yes - a taught course,I'm not involved in bid writing,,PhD student,Male,Fixed term,Linux,False
316,10/21/2014 12:45:43,university of nottingham,I conduct research,,,,,Humanities & language based studies & archaeology,ahrc - arts and humanities research council,1-5 years,Yes,"My work would require more effort, but it would still be possible",No,No,No,,PhD student,Female,Permanent,Microsoft Windows,False
317,10/21/2014 12:50:25,university of leeds,I conduct research,,,,,"Biological, mathematical & physical sciences",stfc - science and technology facilities council,1-5 years,Yes,It would not be practical to conduct my work without software,Yes,"Yes - a taught course, Yes - self taught using online resources or books",No,"IDL, python",PhD student,Male,Fixed term,Linux,True
318,10/21/2014 12:51:44,queen mary university of london,I conduct research,,,,,Social studies,don't know,Less than a year,Yes,"My work would require more effort, but it would still be possible",No,No,No,,,Female,Fixed term,Don't have a preference,False
319,10/21/2014 12:58:38,university of leeds,I conduct research, I manage researchers or research projects,,,,"Medicine, dentistry & health",nih,More than 20 years,Yes,It would not be practical to conduct my work without software,No,No,No,"Too numerous to list,",Professor,Male,Permanent,Mac OS X,True
320,10/21/2014 13:01:57,imperial college london,I conduct research,,,,,"Biological, mathematical & physical sciences",european union,1-5 years,Yes,It would not be practical to conduct my work without software,Yes,Yes - a taught course,I'm not involved in bid writing,"VASP, Comsol Multiphysics, Matlab, Scipy & Matplotlib (Python), TeXnicCenter, Qiqqa ",Postdoctoral researcher,Male,Fixed term,Linux,True
321,10/21/2014 13:03:50,imperial college london,I conduct research,,,,,"Biological, mathematical & physical sciences","other foundation, society or charity",More than 20 years,Yes,It would not be practical to conduct my work without software,Yes,Yes - a taught course,Yes,"Plato, Abinit, Gaussian",Reader,Male,Permanent,Mac OS X,True
322,10/21/2014 13:06:07,university of glasgow,I conduct research, I support researchers, I manage researchers or research projects, I develop software for researchers,,"Biological, mathematical & physical sciences",epsrc - engineering and physical sciences research council,15-20 years,Yes,It would not be practical to conduct my work without software,Yes,Yes - a taught course,"No, but we expected to develop software as part of the project","CPLEX, Gurobi, COIN-OR, LEDA, Matlab, R, LEMON, kidney.optimalmatching.com, toolkit.optimalmatching.com,,",Lecturer,Male,Permanent,Microsoft Windows,True
323,10/21/2014 13:06:56,university of bristol,I conduct research,,,,,Engineering & technology,epsrc - engineering and physical sciences research council,1-5 years,Yes,It would not be practical to conduct my work without software,Yes,Yes - self taught using online resources or books,No,"Open Exchange, written by myself (http://sourceforge.net/projects/open-exchange/)",PhD student,Male,Prefer not to say,Linux,True
324,10/21/2014 13:18:50,university of liverpool,I conduct research, I support researchers, I manage researchers or research projects, I develop software for researchers,,"Biological, mathematical & physical sciences",nerc - natural environment research council,6-10 years,Yes,It would not be practical to conduct my work without software,Yes,"Yes - a taught course, Yes - self taught using online resources or books",I'm not involved in bid writing,"R,Matlab,Cytoscape,GSEA,ARACNE,",Postdoctoral researcher,Male,Fixed term,Microsoft Windows,True
325,10/21/2014 13:20:49,queen mary university of london,I conduct research,,,,,"Biological, mathematical & physical sciences",university central funds,1-5 years,Yes,It would not be practical to conduct my work without software,Yes,"Yes - a taught course, Yes - self taught using online resources or books",I'm not involved in bid writing,"R, Eclipse, Stand Visualisation System, ",PhD student,Female,Fixed term,Microsoft Windows,True
326,10/21/2014 13:23:39,university of leeds,I conduct research, I support researchers,,,,Social studies,university central funds,1-5 years,Yes,"My work would require more effort, but it would still be possible",No,No,I'm not involved in bid writing,,PhD student,Male,Prefer not to say,Mac OS X,False
327,10/21/2014 13:24:20,university of glasgow,I conduct research,,,,,Social studies,esrc - economic and social research council,1-5 years,Yes,It would not be practical to conduct my work without software,Yes,Yes - self taught using online resources or books,No,NVivo,Postdoctoral researcher,Male,Fixed term,Microsoft Windows,True
328,10/21/2014 13:39:13,university of sheffield,I conduct research,,,,,Social studies,university central funds,1-5 years,Yes,It would not be practical to conduct my work without software,No,"Yes - a taught course, Yes - self taught using online resources or books",No,"SPSS, R, Qualtrics",Lecturer,Female,Permanent,Microsoft Windows,True
329,10/21/2014 13:44:17,university of glasgow,I conduct research,,,,,"Biological, mathematical & physical sciences",industry,More than 20 years,No,It would make no significant difference to my work,No,Yes - a taught course,No,,Research Fellow,Male,Fixed term,Microsoft Windows,False
330,10/21/2014 13:45:21,university of bristol,I conduct research,,,,,"Biological, mathematical & physical sciences",wellcome trust,1-5 years,Yes,"My work would require more effort, but it would still be possible",No,No,No,"imageJ, excel, ",Postdoctoral researcher,Female,Permanent,Mac OS X,True
331,10/21/2014 13:46:50,university of bristol,I conduct research, I support researchers,,,,"Medicine, dentistry & health",wellcome trust,15-20 years,No,It would make no significant difference to my work,No,No,I'm not involved in bid writing,,Postdoctoral researcher,Female,Permanent,Microsoft Windows,False
332,10/21/2014 13:50:08,university of glasgow,I conduct research,,,,,Social studies,esrc - economic and social research council,1-5 years,Yes,"My work would require more effort, but it would still be possible",No,No,No,,Postdoctoral researcher,Female,Fixed term,Microsoft Windows,False
333,10/21/2014 14:06:06,university of bristol,I conduct research,,,,,"Biological, mathematical & physical sciences",don't know,1-5 years,Yes,It would not be practical to conduct my work without software,Yes,No,No,"Papers3, R, TNT, MrBayes, RAxML, Mesquite.",PhD student,Male,Fixed term,Mac OS X,True
334,10/21/2014 14:07:17,university of liverpool,I conduct research,,,,,"Medicine, dentistry & health",wellcome trust,1-5 years,Yes,It would not be practical to conduct my work without software,No,No,No,"stata, graphpad, excel, cardiff teleform",Postdoctoral researcher,Female,Fixed term,Microsoft Windows,True
335,10/21/2014 14:09:08,imperial college london,I conduct research,,,,,Engineering & technology,"other foundation, society or charity",6-10 years,Yes,It would not be practical to conduct my work without software,No,No,Yes,"OPUS, Microsoft office 2010, Mathlab",Postdoctoral researcher,Male,Fixed term,Microsoft Windows,True
336,10/21/2014 14:11:28,imperial college london,I conduct research, I support researchers,,,,Engineering & technology,industry,6-10 years,Yes,"My work would require more effort, but it would still be possible",No,Yes - a taught course,No,Nemrodw,Postdoctoral researcher,Female,Fixed term,Microsoft Windows,True
337,10/21/2014 14:11:37,university of bristol,I conduct research,,,,,"Agriculture, forestry & veterinary science",university central funds,6-10 years,Yes,It would not be practical to conduct my work without software,No,No,No,"SPSS, NVivo",Senior Clinical Fellow in Small Animal Medicine,Female,Permanent,Microsoft Windows,True
338,10/21/2014 14:11:42,queen mary university of london,I conduct research, I support researchers,,,,Humanities & language based studies & archaeology,university central funds,More than 20 years,No,It would make no significant difference to my work,No,No,No,,Professor,Male,Permanent,Microsoft Windows,False
339,10/21/2014 14:15:10,university of sheffield,I conduct research,,,,,"Biological, mathematical & physical sciences",mrc - medical research council,1-5 years,Yes,It would not be practical to conduct my work without software,No,No,I'm not involved in bid writing,"FIJI, A plasmid editor. ",PhD student,Female,Prefer not to say,Don't have a preference,True
340,10/21/2014 14:15:21,university of liverpool,I support researchers, technician,,,,"Biological, mathematical & physical sciences",epsrc - engineering and physical sciences research council,More than 20 years,No,It would make no significant difference to my work,No,Yes - a taught course,I'm not involved in bid writing,,Technician,Male,Permanent,Don't have a preference,False
341,10/21/2014 14:21:04,queen mary university of london,I conduct research, I support researchers, I manage researchers or research projects,,,Social studies,esrc - economic and social research council,More than 20 years,Yes,It would not be practical to conduct my work without software,No,No,No,"SPSS, NVivo",Professor,Female,Permanent,Microsoft Windows,True
342,10/21/2014 14:22:47,university of nottingham,I conduct research,,,,,"Biological, mathematical & physical sciences",bbsrc - biotechnology and biological sciences research council,1-5 years,Yes,"My work would require more effort, but it would still be possible",No,No,No,"GenSAT,Leica LF AF,IMARIS",Research Fellow,Female,Fixed term,Microsoft Windows,True
343,10/21/2014 14:31:41,university of sheffield,I conduct research, I support researchers, I manage researchers or research projects,,,"Medicine, dentistry & health",mrc - medical research council,15-20 years,Yes,It would not be practical to conduct my work without software,Yes,No,"No, but we expected to develop software as part of the project","Statistical Parametric Mapping (SPM8),MatLab,LabView,Python,Presentation,",Lecturer,Male,Permanent,Microsoft Windows,True
344,10/21/2014 14:36:07,university of nottingham,I conduct research,,,,,"Biological, mathematical & physical sciences",european union,6-10 years,Yes,"My work would require more effort, but it would still be possible",Yes,No,No,"Matlab, Igor Pro, Maple, Comsol, SolidWorks, Altium, Python, C/C++",Research Fellow,Male,Fixed term,Microsoft Windows,True
345,10/21/2014 14:38:29,university of bristol,I conduct research,,,,,"Biological, mathematical & physical sciences",nerc - natural environment research council,1-5 years,Yes,It would not be practical to conduct my work without software,Yes,"Yes - a taught course, Yes - self taught using online resources or books",No,"R, samtools, MEGA, ",PhD student,,,,True
346,10/21/2014 14:41:37,university of bristol,I conduct research, I manage researchers or research projects,,,,"Biological, mathematical & physical sciences",bbsrc - biotechnology and biological sciences research council,11-15 years,Yes,"My work would require more effort, but it would still be possible",No,Yes - self taught using online resources or books,No,"MATLAB,SigmaPlot,VectorNTI",Lecturer,Male,Permanent,Mac OS X,True
347,10/21/2014 14:46:05,imperial college london,I conduct research,,,,,"Biological, mathematical & physical sciences",epsrc - engineering and physical sciences research council,1-5 years,Yes,It would not be practical to conduct my work without software,Yes,Yes - self taught using online resources or books,"No, but we expected to develop software as part of the project",,PhD student,Male,Fixed term,Microsoft Windows,False
348,10/21/2014 14:47:50,university of sheffield,I conduct research, I manage researchers or research projects,,,,"Biological, mathematical & physical sciences","other foundation, society or charity",More than 20 years,Yes,It would not be practical to conduct my work without software,No,No,Yes,"Prism,Lasergene",Reader,Male,Permanent,Mac OS X,True
349,10/21/2014 15:00:22,queen mary university of london,I conduct research, I support researchers, I manage researchers or research projects,,,"Biological, mathematical & physical sciences",university central funds,6-10 years,Yes,It would not be practical to conduct my work without software,Yes,"Yes - a taught course, Yes - self taught using online resources or books",No,"Matlab, Minitab, Origin, Excel, Creo, GraphPad Prism, ImageJ, PCR machine software, western blot reader software.",Postdoctoral researcher,Male,Fixed term,Microsoft Windows,True
350,10/21/2014 15:01:27,queen mary university of london,I conduct research,,,,,Social studies,esrc - economic and social research council,6-10 years,Yes,"My work would require more effort, but it would still be possible",No,No,No,"spss, R, genstat, minitab",PhD student,Female,Fixed term,Mac OS X,True
351,10/21/2014 15:15:10,queen's university belfast,I conduct research,,,,,"Biological, mathematical & physical sciences",mrc - medical research council,6-10 years,Yes,It would not be practical to conduct my work without software,Yes,Yes - a taught course,No,"Matlab, SPSS",Lecturer,Male,Permanent,Microsoft Windows,True
